,house_id,ost_id,route,duration,distance
11,2021,1010741,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622742, 55.72599], [37.623037, 55.725974], [37.623808, 55.729219], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.626555, 55.731733], [37.627572, 55.733001], [37.627915, 55.735287], [37.628654, 55.741668], [37.628343, 55.743396], [37.627278, 55.745112]], 'type': 'LineString'}",2135.961,3013.373
12,2021,1012654,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623087, 55.725714], [37.623037, 55.725974], [37.623621, 55.729128], [37.623808, 55.729219], [37.623889, 55.729608], [37.624165, 55.729739], [37.624107, 55.729985], [37.624225, 55.729984], [37.624375, 55.729986], [37.624402, 55.729958], [37.624532, 55.72996]], 'type': 'LineString'}",874.935,1228.523
13,2021,1012670,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623087, 55.725714], [37.623037, 55.725974], [37.623621, 55.729128], [37.623808, 55.729219], [37.623787, 55.729318], [37.624212, 55.729333], [37.624293, 55.729113]], 'type': 'LineString'}",818.093,1166.469
14,2021,1012671,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623045, 55.725899], [37.625184, 55.726317], [37.624558, 55.727675], [37.624896, 55.727782], [37.624765, 55.728073]], 'type': 'LineString'}",768.56,1084.161
15,2021,1012694,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622742, 55.72599], [37.623037, 55.725974], [37.623808, 55.729219], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.626555, 55.731733], [37.627572, 55.733001], [37.627915, 55.735287], [37.628429, 55.738865], [37.62996, 55.73904], [37.629945, 55.739172], [37.630063, 55.739189], [37.629822, 55.740158], [37.629943, 55.740169], [37.629866, 55.740464]], 'type': 'LineString'}",1824.417,2573.837
16,2021,1012696,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622742, 55.72599], [37.623037, 55.725974], [37.623808, 55.729219], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.626555, 55.731733], [37.627572, 55.733001], [37.627915, 55.735287], [37.628429, 55.738865], [37.62996, 55.73904], [37.62979, 55.739785], [37.629623, 55.740419]], 'type': 'LineString'}",1817.676,2556.513
17,2021,1012698,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623037, 55.72584], [37.625198, 55.726287], [37.625286, 55.726128], [37.625631, 55.726186], [37.625438, 55.726646], [37.62637, 55.726755], [37.626354, 55.726807], [37.628453, 55.727047], [37.634481, 55.728243], [37.636944, 55.728309], [37.637099, 55.728338], [37.636954, 55.728804]], 'type': 'LineString'}",1265.796,1775.873
18,2021,1012703,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623808, 55.729219], [37.623889, 55.729608], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.625681, 55.730124], [37.626724, 55.7302], [37.626749, 55.730126], [37.629803, 55.730415], [37.629641, 55.73052], [37.63354, 55.730928], [37.635528, 55.731188], [37.63523, 55.73154]], 'type': 'LineString'}",1415.062,2017.317
19,2021,1012705,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623037, 55.72584], [37.625198, 55.726287], [37.625286, 55.726128], [37.625631, 55.726186], [37.625438, 55.726646], [37.62637, 55.726755], [37.626354, 55.726807], [37.628453, 55.727047], [37.634481, 55.728243], [37.636842, 55.728306], [37.636562, 55.729413]], 'type': 'LineString'}",1326.583,1830.863
20,2021,1012707,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623037, 55.72584], [37.625198, 55.726287], [37.625286, 55.726128], [37.625631, 55.726186], [37.625438, 55.726646], [37.62637, 55.726755], [37.626339, 55.726852], [37.628498, 55.727117], [37.631035, 55.727638], [37.631086, 55.727521], [37.634213, 55.728144], [37.634234, 55.728128], [37.634886, 55.728201], [37.634873, 55.727918], [37.63506, 55.727805], [37.635738, 55.727808], [37.635748, 55.727648], [37.637004, 55.727666], [37.637051, 55.727348]], 'type': 'LineString'}",1286.963,1826.698
21,2021,1012708,"{'coordinates': [[37.617231, 55.72235], [37.61767, 55.720968], [37.61959, 55.721207], [37.619634, 55.72104], [37.620018, 55.721093], [37.620199, 55.720688], [37.622527, 55.721023], [37.623925, 55.721118], [37.623938, 55.721054], [37.627893, 55.721365], [37.633062, 55.722565], [37.63575, 55.722034], [37.636277, 55.72339], [37.636174, 55.723713]], 'type': 'LineString'}",1124.445,1589.963
22,2021,1012711,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623037, 55.72584], [37.625198, 55.726287], [37.625286, 55.726128], [37.625631, 55.726186], [37.625416, 55.726594], [37.625505, 55.726659], [37.628377, 55.726968], [37.628745, 55.726863], [37.628801, 55.7269], [37.631595, 55.725716], [37.631924, 55.725769], [37.636789, 55.725757], [37.636808, 55.725834], [37.637286, 55.725787], [37.637365, 55.726076]], 'type': 'LineString'}",1290.085,1795.23
23,2021,1012713,"{'coordinates': [[37.617231, 55.72235], [37.616985, 55.723148], [37.617652, 55.723202], [37.617593, 55.723424], [37.62222, 55.723707], [37.622251, 55.723947], [37.622673, 55.723922], [37.623808, 55.729219], [37.623889, 55.729608], [37.624165, 55.729739], [37.624114, 55.730023], [37.625375, 55.730082], [37.625649, 55.730064], [37.626555, 55.731733], [37.627572, 55.733001], [37.627915, 55.735287], [37.631447, 55.736479], [37.632057, 55.735897]], 'type': 'LineString'}",1581.759,2245.881
