,address,coordinates
73,"ул. Нежинская, д. 1, к. 1, Москва","[37.47886863081074, 55.71901965]"
74,"ул. Нежинская, д. 1, к. 2, Москва","[37.47810953081074, 55.71935355]"
75,"ул. Нежинская, д. 1, к. 3, Москва","[37.477597230810744, 55.718806650000005]"
76,"ул. Нежинская, д. 1, к. 4, Москва","[37.47716743081074, 55.718285449999996]"
77,"ул. Поляны, д. 5, Москва","[37.5551998, 55.5578145]"
78,"ул. Ярцевская, д. 27, к. 1, Москва","[37.41706654273641, 55.741947249999996]"
79,"ул. Машиностроения 1-я, д. 10, Москва","[38.2466977, 55.753266]"
80,"проезд. Астрадамский, д. 4А, к. 1, Москва","[37.5611276346232, 55.8111286]"
81,"проезд. Астрадамский, д. 4А, к. 2, Москва","[37.56172169970425, 55.8113143]"
82,"пр-кт. Вернадского, д. 37, к. 1А, Москва","[37.51093401762735, 55.67827035]"
83,"ул. Врубеля, д. 8, Москва","[37.4988934260647, 55.8057853]"
84,"б-р. Генерала Карбышева, д. 15, Москва","[37.4700034, 55.781713]"
85,"ш. Головинское, д. 7, Москва","[37.4929892, 55.8395426]"
86,"ш. Дмитровское, д. 13А, Москва","[37.5736874, 55.8183542]"
87,"пр-кт. Ленинский, д. 92, к. 1, Москва","[37.51680844339849, 55.6708357]"
88,"пр-кт. Ленинский, д. 98, к. 1, Москва","[37.515287309428416, 55.66981505]"
89,"пр-кт. Ленинский, д. 106, к. 1, Москва","[37.51374820837156, 55.66881135]"
90,"пр-кт. Ленинский, д. 128, к. 1, Москва","[37.51050170887127, 55.666633000000004]"
91,"ул. Юшуньская М., д. 3, Москва","[37.5948112, 55.6505899]"
92,"б-р. Маршала Рокоссовского, д. 6, к. 1, Москва","[37.727192029494034, 55.810203200000004]"
93,"ул. Ярцевская, д. 32, Москва","[37.4176169, 55.7413936]"
94,"пр-кт. Ленинский, д. 123, Москва","[37.47906524399974, 55.6467619]"
95,"пр-кт. Ленинский, д. 131, Москва","[37.473204478349956, 55.64400955]"
96,"ул. Маршала Катукова, д. 24, к. 5, Москва","[37.4133343, 55.8029679]"
97,"ул. Маршала Катукова, д. 24, к. 6, Москва","[37.412074950000004, 55.8024238]"
98,"ул. Мироновская, д. 25, Москва","[37.732233732259346, 55.7879387]"
99,"ул. Мосфильмовская, д. 47Б, Москва","[37.5360095, 55.7268918]"
100,"ул. Архитектора Власова, д. 8, Москва","[37.548573381461466, 55.678140049999996]"
101,"ш. Дмитровское, д. 13, Москва","[37.5736472, 55.8174871]"
102,"б-р. Жулебинский, д. 33, к. 1, Москва","[37.84584454333678, 55.68585385]"
103,"ул. Маршала Катукова, д. 24, к. 3, Москва","[37.4131414, 55.804505]"
104,"ул. Маршала Катукова, д. 24, к. 4, Москва","[37.4134845, 55.8037548]"
105,"ш. Рублевское, д. 101, Москва","[37.4214436, 55.7414698]"
106,"пер. Тепличный, д. 4, Москва","[37.496024002847314, 55.79015575]"
107,"ул. Генерала Глаголева, д. 19, Москва","[37.46293588362379, 55.784593]"
108,"наб. Карамышевская, д. 48, к. 3, Москва","[37.46510784551935, 55.773122799999996]"
109,"наб. Карамышевская, д. 56, к. 1, Москва","[37.46160634859812, 55.77443825]"
110,"ул. Маршала Конева, д. 14, Москва","[37.48553665, 55.79593775]"
111,"ул. Маршала Соколовского, д. 5, Москва","[37.48841925, 55.79257465]"
112,"пр-кт. Мичуринский, д. 80, Москва","[37.454840997351965, 55.6733343]"
113,"пр-кт. Нахимовский, д. 56, Москва","[37.55581184331473, 55.683605549999996]"
114,"ул. Озерная, д. 9, Москва","[37.4620048, 55.6829822]"
115,"ул. Покрышкина, д. 1, к. 1, Москва","[37.478933, 55.6632022]"
116,"проезд. Новомихалковский 1-й, д. 2, к. 1, Москва","[37.5401094, 55.8380773]"
117,"проезд. Новомихалковский 1-й, д. 14, Москва","[37.5366838, 55.8384509]"
118,"ул. Авиационная, д. 63, Москва","[37.45509092573859, 55.8090676]"
119,"ул. Автозаводская, д. 23Б, к. 2, Москва","[37.6521607, 55.7017515]"
120,"ул. Беломорская, д. 24, к. 3, Москва","[37.47720973405376, 55.86213375]"
121,"проезд. Березовой Рощи, д. 12, Москва","[37.5201578, 55.7912385]"
122,"ш. Варшавское, д. 141, к. 10, Москва","[37.6024551, 55.5890594]"
123,"ул. Губкина, д. 6, Москва","[37.563738061245324, 55.6955457]"
124,"б-р. Кронштадтский, д. 6, к. 1, Москва","[37.49369532574552, 55.84105325]"
125,"б-р. Кронштадтский, д. 6, к. 2, Москва","[37.49443649999999, 55.8412847]"
126,"б-р. Кронштадтский, д. 6, к. 3, Москва","[37.49522619009683, 55.84098025]"
127,"б-р. Кронштадтский, д. 6, к. 4, Москва","[37.49440720059441, 55.84078385]"
128,"б-р. Кронштадтский, д. 6, к. 5, Москва","[37.49368407233969, 55.84049115]"
129,"ул. Марксистская, д. 7, Москва","[37.6654692, 55.7364187]"
130,"ш. Можайское, д. 2, Москва","[37.4469163, 55.7239388]"
131,"ул. Профсоюзная, д. 41, Москва","[37.55613667471448, 55.669975]"
132,"б-р. Славянский, д. 9, к. 6, Москва","[37.467418, 55.724787]"
133,"ул. Улофа Пальме, д. 1, Москва","[37.5130798, 55.7178847]"
134,"ул. Чертановская, д. 48, к. 3, Москва","[37.5898404, 55.6069318]"
135,"г. Зеленоград, д. 1804, к. 1804б, Москва",0
136,"п. Внуковское, д. Пыхтино, д. 27, стр. по ул. Авиаконструктора Петлякова, Москва",0
137,"п. Внуковское, д. Пыхтино, д. 31, стр. по ул. Авиаконструктора Петлякова, Москва",0
138,"п. Внуковское, д. Пыхтино, д. 16, стр. по ул. Летчика Грицевца, Москва",0
139,"п. Внуковское, д. Пыхтино, д. 29, стр. по ул.Авиаконструктора Петлякова, Москва",0
140,"п. Внуковское, д. Пыхтино, д. 25, стр. по ул. Авиаконструктора Петлякова, Москва",0
141,"г. Зеленоград, к. 1804Б, Москва",0
