,house_id,met_vok_id,route,duration,distance
10,2556,4,"{'coordinates': [[37.632089, 55.723585], [37.632121, 55.723556], [37.630697, 55.723108], [37.630574, 55.723239], [37.629836, 55.723025], [37.628587, 55.722659], [37.628524, 55.722736], [37.627884, 55.722572], [37.627679, 55.72293], [37.627282, 55.723019], [37.625631, 55.726186], [37.625286, 55.726128], [37.623855, 55.729216], [37.623648, 55.729168], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",888.134,1229.457
11,2556,5,"{'coordinates': [[37.632089, 55.723585], [37.631506, 55.724099], [37.63158, 55.724205], [37.632306, 55.724537], [37.632241, 55.72458], [37.632963, 55.724934], [37.632162, 55.725401], [37.628502, 55.72697], [37.62637, 55.726755], [37.626339, 55.726852], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",581.62,830.055
12,2597,0,"{'coordinates': [[37.630692, 55.73316], [37.632048, 55.733367], [37.632158, 55.733285], [37.632264, 55.733286], [37.632363, 55.733108], [37.633248, 55.733058], [37.633423, 55.73295], [37.634313, 55.733052], [37.634957, 55.731919], [37.635208, 55.731967], [37.635316, 55.731793], [37.635381, 55.731807], [37.635881, 55.731523], [37.635967, 55.731374], [37.636043, 55.731276], [37.636485, 55.730738], [37.636624, 55.730753], [37.637278, 55.730003], [37.637947, 55.730045], [37.637978, 55.729909], [37.640902, 55.730121]], 'type': 'LineString'}",644.099,918.753
13,2597,1,"{'coordinates': [[37.630692, 55.73316], [37.629233, 55.732805], [37.628918, 55.73355], [37.628803, 55.733538], [37.628757, 55.733644], [37.627711, 55.73359], [37.627814, 55.734168], [37.627576, 55.734177], [37.627601, 55.734835], [37.625648, 55.734675], [37.62579, 55.738944], [37.625578, 55.738952], [37.625863, 55.740608], [37.625664, 55.740788], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",997.395,1407.441
14,2597,2,"{'coordinates': [[37.630692, 55.73316], [37.629233, 55.732805], [37.628918, 55.73355], [37.628803, 55.733538], [37.628757, 55.733644], [37.627711, 55.73359], [37.627915, 55.735287], [37.628626, 55.741928], [37.62889, 55.741933], [37.629005, 55.742022], [37.629001, 55.74227], [37.629391, 55.742293], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",949.245,1336.032
15,2597,3,"{'coordinates': [[37.630692, 55.73316], [37.632048, 55.733367], [37.632158, 55.733285], [37.632264, 55.733286], [37.632363, 55.733108], [37.633248, 55.733058], [37.633423, 55.73295], [37.634313, 55.733052], [37.634957, 55.731919], [37.635208, 55.731967], [37.635316, 55.731793], [37.635381, 55.731807], [37.635881, 55.731523], [37.635955, 55.731436], [37.63631, 55.731569], [37.636571, 55.731466], [37.636648, 55.731354], [37.63723, 55.731464]], 'type': 'LineString'}",400.996,585.867
16,2597,4,"{'coordinates': [[37.630692, 55.73316], [37.630732, 55.733109], [37.629322, 55.73276], [37.629414, 55.732443], [37.629261, 55.732427], [37.629263, 55.732298], [37.627242, 55.732406], [37.626555, 55.731733], [37.625649, 55.730064], [37.625375, 55.730082], [37.624114, 55.730023], [37.624165, 55.729739], [37.623889, 55.729608], [37.623808, 55.729219], [37.623621, 55.729128], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",635.437,864.737
17,2597,5,"{'coordinates': [[37.630692, 55.73316], [37.630732, 55.733109], [37.629322, 55.73276], [37.629414, 55.732443], [37.629261, 55.732427], [37.629263, 55.732298], [37.627242, 55.732406], [37.626555, 55.731733], [37.625649, 55.730064], [37.625803, 55.72961], [37.625206, 55.727647], [37.625175, 55.727328], [37.625342, 55.726962], [37.625483, 55.726762], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",755.535,1068.34
18,2622,0,"{'coordinates': [[37.635748, 55.727648], [37.637004, 55.727666], [37.6369, 55.72814], [37.637244, 55.728161], [37.637099, 55.728338], [37.636988, 55.728588], [37.636872, 55.729331], [37.63729, 55.729348], [37.638623, 55.729441], [37.639211, 55.729416], [37.639568, 55.729361], [37.640014, 55.729365], [37.640058, 55.7294], [37.640115, 55.729483], [37.640014, 55.729804], [37.640406, 55.729833], [37.640344, 55.73008], [37.640902, 55.730121]], 'type': 'LineString'}",440.916,625.707
19,2622,1,"{'coordinates': [[37.635748, 55.727648], [37.635614, 55.729854], [37.634993, 55.729968], [37.634979, 55.73001], [37.63516, 55.73003], [37.635506, 55.730524], [37.635728, 55.730554], [37.635685, 55.730649], [37.635765, 55.730657], [37.635972, 55.73068], [37.636485, 55.730738], [37.636043, 55.731276], [37.635967, 55.731374], [37.635881, 55.731523], [37.635381, 55.731807], [37.635316, 55.731793], [37.635248, 55.731902], [37.635126, 55.731874], [37.633234, 55.734875], [37.631379, 55.736769], [37.630094, 55.739108], [37.629675, 55.740762], [37.625663, 55.740903], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",1467.176,2083.773
